,Symbol,Start,End,Label,Market.Cap,Sector,Income,Sales,Employees,price.to.earnings,Price.Earnings.to.Growth,Price.to.Sales.Ratio,Price.to.Book,Price.to.free.cash.flow,debt.to.equity,EPS..ttm.,Inst.Own,ROE,ROI,Profit.Margin,Shs.Outstand,Beta
1326,SPIR,10.08,3.54,DOWN,202148197,Finance,-31400000,62000000,378,0,0,3.11,1.31,0,0.71,-0.29,0.348,-0.208,-0.285,-0.506,139690000,0
1327,SPLP,10.35,40.97,UP,915742529,Industrials,147900000,1670000000,4500,7.52,0,0.55,1.34,0,0.62,5.64,0.478,0.224,0.12,0.088,22850000,1.39
1328,SPNT,9.41,8.14,DOWN,1041453882,Finance,-428600000,1960000000,1032,0,0,0.48,0.47,27.67,0.39,-2.68,0.829,-0.194,0.015,-0.218,160260000,0.88
1329,SPOT,311,237.92,DOWN,15662867817,Consumer Discretionary,-196700000,11120000000,6617,0,0,1.28,6.43,72.48,0.81,-1.03,0.58,-0.09,-0.048,-0.018,193080000,1.73
1330,SPR,36.67,43.06,UP,2427630601,Industrials,-408900000,4480000000,16100,0,0,0.62,12.66,0,16.74,-3.92,0.861,-1.105,-0.104,-0.091,104600000,1.73
1331,SPXC,53.19,59.23,UP,2996688609,Industrials,57400000,1300000000,3100,56.66,3.15,2.45,2.92,0,0.22,1.24,0.944,0.331,0.047,0.279,45440000,1.21
1332,SQ,221.16,165.34,DOWN,35659500212,Technology,-489000000,16290000000,8521,0,0,2.31,2.16,73.59,0.27,-0.9,0.689,-0.048,0.02,-0.03,581350000,2.37
1333,SQM,49.92,51.8,UP,26277250147,Industrials,2080000000,6360000000,6462,13.44,0.33,4.14,7.92,834.41,0.74,7.29,0.454,0.631,0.117,0.327,285640000,0.85
1334,SQNS,6.4,4.64,DOWN,176815069,Technology,-8700000,53800000,262,0,0,3.29,26.14,0,8.71,-0.23,0.597,1.271,-0.379,-0.162,47930000,0.86
1335,SQZ,28,9.57,DOWN,83358376,Health Care,-77500000,23200000,113,0,0,3.43,0.9,0,0,-2.75,0.697,-0.689,-0.555,0,28370000,0
1336,SR,63.41,64.97,UP,3644573507,Utilities,203000000,2170000000,3710,17.23,4.01,1.62,1.35,0,1.52,3.91,0.885,0.081,0.063,0.093,52200000,0.41
1337,SRC,37.98,48.03,UP,5273014667,Real Estate,213100000,652000000,84,22.91,0.61,7.86,1.22,78.38,0.82,1.66,0.999,0.054,0.019,0.327,136340000,1.27
1338,SRE,123.8,131.77,UP,47388568605,Utilities,1130000000,14220000000,15390,42.08,10.87,3.3,1.82,27.15,1,3.56,0.898,0.045,0.023,0.079,314850000,0.67
1339,SRG,13.86,13.23,DOWN,596184534,Real Estate,-115400000,118100000,40,0,0,5.21,0.95,0,2.79,-2.64,0.454,-0.188,-0.071,-0.977,43680000,2.8
1340,SRI,29.45,19.75,DOWN,574534701,Consumer Discretionary,-31500000,827300000,5000,0,0,0.82,2.46,0,0.59,-1.16,0,-0.109,0.014,-0.038,27270000,1.29
1341,SRL,4.18,8.86,UP,122814617,Consumer Discretionary,5600000,52300000,72,24.57,0,2.29,0.41,0,0.12,0.33,0.1,0.021,0.018,0.106,13600000,1.22
1342,SRT,7.83,5.1,DOWN,149756282,Technology,7400000,686500000,45000,19.15,3.83,0.2,0.71,7.43,0.89,0.18,0.113,0.038,0.063,0.011,40280000,1.53
1343,SSL,8.77,16.12,UP,10623717121,Energy,2130000000,15080000000,28279,5.16,0,0.79,1.05,12.46,0.64,3.35,0.013,0.238,0.154,0.141,625200000,2.53
1344,SST,10.64,9.97,DOWN,470635331,Consumer Discretionary,-85200000,809900000,375,0,0,0.52,0.62,0,0.65,-0.93,0.32,0,0.351,0,90590000,0
1345,SSTK,69.27,112.47,UP,1809734477,Technology,85900000,815900000,1148,19.96,6.24,2.05,3.9,15.29,0.12,2.34,0.71,0.194,0.203,0.105,35930000,1.08
1346,ST,51.97,61.37,UP,6231805446,Industrials,309500000,3950000000,21300,20.96,1.22,1.61,2.07,28.23,1.38,1.97,0,0.101,0.075,0.078,154120000,1.26
1347,STAG,30.36,47.48,UP,5661430155,Real Estate,234600000,634600000,86,23.98,3.43,8.92,1.66,50.16,0.72,1.33,0.877,0.069,0.029,0.37,179050000,0.99
1348,STAR,14.4,25.89,UP,900872288,Real Estate,-90900000,274400000,144,0,0,3.46,0.52,0,0,-1.07,0.858,0,-0.04,0,85370000,1.25
1349,STC,47.61,80.14,UP,1064306520,Finance,234500000,3380000000,7300,4.27,0.85,0.3,0.73,3.41,0.33,8.56,0.933,0.254,0.195,0.097,27020000,1.09
1350,STE,188.49,245.17,UP,17126026712,Health Care,377000000,4770000000,16422,43.72,4.37,3.42,2.55,54.44,0.47,3.74,0.95,0.058,0.037,0.079,100080000,0.8
1351,STEM,17.9,19.4,UP,2082844103,Technology,27100000,200600000,213,17.18,0,8.7,2.9,0,0.77,0.66,0.578,0.043,-0.088,0.135,154120000,0
1352,STG,13.38,4.93,DOWN,54635732,Real Estate,74600000,322200000,4064,0.7,0,0.17,0,0,0,5.55,0.037,-0.584,-0.219,0.231,13570000,1.07
1353,STLA,18.19,18.76,UP,43361830187,Consumer Discretionary,0,1.65E+11,281595,2.99,0.15,0.26,0.93,0,0,4.61,0.5443,0,0,0,3130000000,0
1354,STM,38.51,49.19,UP,28368206170,Technology,3460000000,15260000000,48254,8.79,1.76,1.94,2.8,25.48,0.24,3.68,0.05,0.346,0.177,0.227,945500000,1.46
