"Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"FLO",22.91,27.42,"UP",6070033581,"Consumer Staples",217400000,4.58e+09,8900,2.8,27.89,8.69,1.32,4.17,0,0.63,1.02,0.79,0.152,0.092,0.048,212190000,0.38
"FLR",15.82,24.57,"UP",4329259321,"Industrials",-39600000,1.268e+10,40582,0,0,0,0.37,3.19,0,0.77,-0.35,0.974,-0.11,-0.056,-0.013,1.42e+08,2.43
"FLS",34.77,30.49,"DOWN",3774426980,"Industrials",95500000,3.49e+09,15000,2.6,42.61,3.1,1.2,2.45,0,0.77,0.73,0,0.048,0.073,0.024,130700000,1.64
"FLT",265.93,225.65,"DOWN",13968354621,"Technology",939100000,3.21e+09,9700,2.3,15.47,1,4.2,5.15,17.98,2.56,11.66,0.982,0.323,0.108,0.293,76770000,1.22
"FMC",113.12,109.39,"DOWN",14927432969,"Industrials",762500000,5.41e+09,6400,2.3,20.81,2.38,2.88,5.05,113.62,1.25,5.98,0.919,0.248,0.154,0.14,126200000,0.83
"FMS",42.55,32.32,"DOWN",8133420806,"Health Care",0,1.905e+10,122758,2.8,11.23,10.7,0.43,0.69,0,0,1.28,0.0661,0,0,0,586830000,0
"FMX",75.12,77.34,"UP",25487705721,"Consumer Staples",1.35e+09,3.227e+10,342363,2,19.79,5.5,0.75,2.04,18.97,0.93,3.77,0.339,0.093,0.078,0.038,357820000,0.9
"FN",77.52,118.84,"UP",4188134537,"Utilities",200400000,2.26e+09,14235,2.4,20.79,2.32,1.77,3.26,115.9,0.02,5.36,0.999,0.166,0.154,0.089,36670000,1
"FNB",9.45,12.21,"UP",5087718028,"Finance",390500000,1.12e+09,3886,2,12.65,1.27,4.5,0.95,11.58,0.22,1.13,0.774,0.069,0.13,0.318,351270000,1.13
"FND",92.46,129.98,"UP",7847293643,"Consumer Discretionary",277300000,3.91e+09,7986,1.9,27.26,1.18,1.97,4.99,0,0.18,2.59,0,0.202,0.188,0.071,105550000,1.76
"FNF",38.4,52.01,"UP",10961502888,"Finance",2.05e+09,1.448e+10,28290,2.1,5.53,0,0.74,1.64,3.13,0.46,7.17,0.82,0.244,0.199,0.141,2.78e+08,1.34
